1,1.000000000
2,5.998919000
3,7.874107800
4,9.706343300
5,11.091938100
6,12.216481400
7,13.159449100
8,13.966717200
9,14.674457000
10,15.303705600
11,15.875778300
12,16.401157600
13,16.881419800
14,17.316809300
15,17.725900400
16,18.106122600
17,18.463772000
18,18.802111000
19,19.119702200
20,19.418290000
21,19.702995800
22,19.976375100
23,20.232777700
24,20.483738000
25,20.714699495
26,20.941014182
27,21.152368667
28,21.279218281
29,21.626262626
30,21.793494188
31,22.037621767
32,22.110235515
33,22.281827103
34,22.517134250
35,22.735903391
36,22.804948646
37,22.947920678
38,23.071450258
39,23.204850903
40,23.339707271
